SNO.,FESTIVALS,BEST PLACES TO CELEBRATE
1,Diwali,"Varanasi, Jaipur, Delhi"
2,Holi,"Goa, Delhi, Mathura, Rajasthan"
3,Christmas,"Shillong, Mumbai, Pondicherry, Goa, Kerela"
4,Dussehra,"Kullu, Mysore, Kolkata, Varanasi"
5,Durga Puja,"Kolkata, Assam, Bihar"
6,Janmashtami,"Mathura, Vrindavan, Dwarka"
7,Ganesh Chaturthi,"Mumbai, Pune, Hyderabad"
8,Eid-Ul-Fitr,"Delhi, Hyderabad, Lucknow, Mumbai"
9,Onam,Kerela
10,Raksha Bandhan,"Uttarakhand, Orissa, Maharashtra"
11,Pongal,"Madurai, Thanjavur"
12,Gurupurab,Amritsar
13,Maha Shivratri,"Varanasi, Guwahati, Haridwar, Rishikesh, Srisailam"
14,Hemis,Ladakh
15,Lodhi,"Amritsar, Jalandhar, Ludhiana, Chandigarh, Delhi"
